num,store,address,review,score
81,쪼끄뜨레 제주,제주특별자치도 제주시 한경면 두신로 85 B동,108,4.8
82,장어창고,제주특별자치도 제주시 한경면 두신로 146,12,4.7
83,느영나영혼듸모영,제주특별자치도 제주시 한경면 두모1길 2,8,4.4
84,이층빵집 굽는아방,제주특별자치도 제주시 한경면 두신로 88-1 2층,14,4.9
85,두모리이수사,제주특별자치도 제주시 한경면 두신로 112,12,3.2
86,마돈가제트,제주특별자치도 제주시 한경면 두모11길 51 2층,67,4.9
87,뚜레쥬르 제주한경점,제주특별자치도 제주시 한경면 신한로 1,0,0
88,DDC치킨 신창점,제주특별자치도 제주시 한경면 두신로 81,14,5
89,백일식당,제주특별자치도 제주시 한경면 두신로 88,5,3.4
90,두모토랑,제주특별자치도 제주시 한경면 두모1길 24-4,4,5
91,영감곤빵,제주특별자치도 제주시 한경면 두신로 99,3,5
92,펍해마,제주특별자치도 제주시 한경면 두모11길 46 1층,0,0
93,마녀상회,제주특별자치도 서귀포시 대정읍 무릉사장로 154,31,4.3
94,나무식탁,제주특별자치도 서귀포시 대정읍 도원로 214 1층,0,0
95,헤이데이즈,제주특별자치도 서귀포시 대정읍 도원로 225-4,1,5
96,무릉 수다뜰,제주특별자치도 서귀포시 대정읍 서삼중로 117,0,0
97,엄블랑,제주특별자치도 제주시 한경면 칠전로 148 1층,42,4.3
98,제주어부횟집,제주특별자치도 제주시 한경면 칠전로 140,9,3.9
99,배터져샤브샤브,제주특별자치도 제주시 한경면 칠전로 133 1층,3,4.3
100,일마레 가든 앤 스테이,제주특별자치도 제주시 한경면 고조로 105 1동 1층 101호,0,0
101,발리가든 협재본점,제주특별자치도 제주시 한경면 신정로 216,90,5
102,정성식당,제주특별자치도 제주시 한경면 신한로 88,25,5
103,초원의집,제주특별자치도 제주시 한경면 신한로 76,0,0
104,바다를본돼지 제주협재판포본점,제주특별자치도 제주시 한경면 판포1길 16 1층,103,4
105,마루나키친,제주특별자치도 제주시 한경면 금등4길 11 1층,0,0
106,퐁당라면,제주특별자치도 제주시 한경면 일주서로 4533-3 2층,21,4.2
107,판포미인,제주특별자치도 제주시 한경면 판포1길 11 1층,0,0
108,짚불도,제주특별자치도 제주시 한경면 판포1길 6 메가리조트 1층 12호,20,3.8
109,판포리아,제주특별자치도 제주시 한경면 판포리 2881-3 1층,20,4.5
110,해녀스낵,제주특별자치도 제주시 한경면 일주서로 4533-19 2층,6,3.3
111,제주그때그집 제주협재판포점,제주특별자치도 제주시 한경면 판포1길 44-1 1동 1층,20,4.3
112,스톤그레이,제주특별자치도 제주시 한경면 일주서로 4459-10 1층,4,5
113,인판포,제주특별자치도 제주시 한경면 일주서로 4533-21,51,4.4
114,들꽃정원,제주특별자치도 제주시 한경면 판포1길 37,11,3.9
115,금등641,제주특별자치도 제주시 한경면 금등3길 25 1층,0,0
116,마루다이닝,제주특별자치도 서귀포시 대정읍 서삼중로 77,31,4.8
117,제주고로,제주특별자치도 서귀포시 대정읍 서삼중로 94,63,4.3
118,신토불이,제주특별자치도 서귀포시 대정읍 서삼중로 94,2,4.5
