num,name,address,review,score
70,스텔베이커리까페,제주특별자치도 서귀포시 대정읍 전세비로 20-76 2층,4,4.5
71,하소로커피,제주특별자치도 제주시 한경면 불그못로 72,63,4.7
72,혼디인2714,제주특별자치도 제주시 한경면 고조로 402,12,5
73,산노루,제주특별자치도 제주시 한경면 낙원로 32,222,4.2
74,오오디,제주특별자치도 제주시 한경면 용금로 360-10,4,5
75,달링하버,제주특별자치도 제주시 한경면 금등대안3길 42-10 1층,9,5
76,쉴만한물가,제주특별자치도 제주시 한림읍 월령안길 30,16,4.2
77,월령15,제주특별자치도 제주시 한림읍 한림로 15,16,4.5
78,마노,제주특별자치도 서귀포시 중문상로 97 1층,87,4.8
79,알14,제주특별자치도 제주시 한림읍 월령안길 24,2,5
80,블루하이,제주특별자치도 제주시 한림읍 한림로 77,8,0
81,인스밀,제주특별자치도 서귀포시 대정읍 일과대수로27번길 22 1층,652,3.3
82,빈계절,제주특별자치도 서귀포시 대정읍 무영로228번길 17-7,58,4.9
83,사사일,제주특별자치도 서귀포시 대정읍 무영로254번길 17,44,5
84,플루스커피,제주특별자치도 제주시 한경면 낙조길 178-45 1동 1층,1,5
85,달아래팥,제주특별자치도 제주시 한경면 낙수로 148,9,4.9
86,아녹,제주특별자치도 제주시 한림읍 진질길 23,1,5
87,줄라이앤어거스트,제주특별자치도 제주시 한경면 낙원로 93,27,5
88,제주낭그늘,제주특별자치도 제주시 한경면 낙수로 97 1층,0,0
89,크래커스커피 한경점,제주특별자치도 제주시 한경면 낙수로 1 1층 / 크래커스커피 한경점,45,4.8
90,카페그해여름,제주특별자치도 제주시 한경면 홍수암로 568 1층,4,4.5
91,카페디캠,제주특별자치도 제주시 한경면 판조로 385,20,4.6
92,블루로즈 553,제주특별자치도 제주시 한경면 홍수암로 553 1층,6,5
93,과수원피스,제주특별자치도 제주시 한림읍 한림로 176-2,3,4.8
94,카페이면,제주특별자치도 제주시 한림읍 금능5길 13 1층,123,4.8
95,소사오름,제주특별자치도 제주시 한림읍 금능길 61,24,4.8
96,카페 아이엠셀럽,제주특별자치도 제주시 한림읍 금능3길 28 1층,2,5
97,문화카페별차롱,제주특별자치도 제주시 한림읍 금능길 39,0,0
98,비주비주,제주특별자치도 제주시 한림읍 비양도길 32,6,4.5
99,섬,제주특별자치도 제주시 한경면 고산리 125,26,4.6
100,재게재게옵서카페,제주특별자치도 제주시 한림읍 비양도길 32-3,0,2.3
101,올레카페,제주특별자치도 서귀포시 중앙로62번길 18,0,0
102,날외15,제주특별자치도 서귀포시 대정읍 일과대수로 15,32,4.7
103,우녕,제주특별자치도 서귀포시 대정읍 칠전로 528-20 1층,0,0
104,카페오제,제주특별자치도 제주시 한경면 불그못로 222,15,5
105,토니커피,제주특별자치도 제주시 한경면 연명로 13-2 1층,0,0
106,유람위드북스,제주특별자치도 제주시 한경면 조수동2길 54-36,69,4.8
