num,name,address,review,score
1, 이마트 신제주점,제주특별자치도 제주시 1100로 3348,78,3.2
2, 롯데마트 제주점,제주특별자치도 제주시 연북로 1,45,3.1
3, 이마트 서귀포점,제주특별자치도 서귀포시 일주동로 9209,76,3.5
4, 참좋은마트,제주특별자치도 제주시 연오로 61,0,5
5, 제스코마트 본점,제주특별자치도 제주시 연북로 444,15,4
6, 이마트 제주점,제주특별자치도 제주시 탑동로 38,42,3.4
7, 홈플러스 서귀포점,제주특별자치도 서귀포시 중앙로 180,34,2.8
8, 두원 제주반품샵,제주특별자치도 제주시 거로남4길 57-9,3,1.5
9, 월마켓,제주특별자치도 제주시 일주동로 233,0,3.2
