num,store,address,review,score
89,굿모닝렌트카,제주특별자치도 제주시 월성로4길 74-22 1층,3,3.5
90,제주패스렌트카,제주특별자치도 제주시 신광로 21 4층,19,3.9
91,제주제일렌트카 제주지점,제주특별자치도 제주시 월성로4길 78,1,5
92,제시카,제주특별자치도 제주시 도령로15길 6 엘리사아 11층,3,5
93,제주왕렌트카,제주특별자치도 제주시 신대로 70 4층,0,0
94,제주아이,제주특별자치도 서귀포시 성산읍 일출로288번길 8 1층,95,4.6
95,제주셀카,제주특별자치도 제주시 신대로 70,0,0
96,제주렌트카 본사,제주특별자치도 제주시 용문로 8,35,4.2
97,롯데렌터카 제주국제공항지점,제주특별자치도 제주시 공항로 2 1층,2,0
98,탐라렌트카,제주특별자치도 제주시 공항로 5,23,2.2
99,제주국제공항 렌터카하우스,제주특별자치도 제주시 용해로 92,66,3.7
100,레드캡렌터카 제주지점,제주특별자치도 제주시 다호길 130,12,4.4
101,해피렌트카,제주특별자치도 제주시 다호7길 28,26,4
102,제주한라렌트카,제주특별자치도 제주시 다호길 126,1,4.4
103,디렌트카,제주특별자치도 제주시 다호7길 28,5,3.9
104,제주제일렌트카 제주지점,제주특별자치도 제주시 공항로 5,0,5
105,제주렌트카 공항지점,제주특별자치도 제주시 공항로 2,0,5
106,제시카존,제주특별자치도 제주시 다호동길 51 1층,2,5
107,제주국제공항 제주렌터카,제주특별자치도 제주시 공항로 2,6,2.3
108,블루x라인렌트카,제주특별자치도 제주시 다호길 75,0,0
109,천지렌트카 제주영업소,제주특별자치도 제주시 공항로 5,0,0
110,제주현대렌트카,제주특별자치도 제주시 어영길 30,20,3
111,제주다움렌터카,제주특별자치도 제주시 어영길 42,11,2.7
112,제주유레카,제주특별자치도 제주시 어영길 20,79,2.9
113,제주명품렌트카,제주특별자치도 제주시 어영길 30,0,2.3
114,오렌지렌트카,제주특별자치도 제주시 서해안로 442-53,1,1
115,제주아이엔지,제주특별자치도 제주시 어영길 10-3,0,0
116,DR렌트카,제주특별자치도 제주시 어영길 20,0,1
117,돌하루팡 렌트,제주특별자치도 제주시 연삼로 38 연빌딩3층,6,4.3
118,국가대표렌트카,제주특별자치도 제주시 어영길 20 103호,0,0
119,한국렌트카,제주특별자치도 제주시 연미길 53,56,2.1
120,오렌지렌트카,제주특별자치도 제주시 연미길 103,12,2.3
