num,store,address,review,score,
64,안덕초등학교 병설유치원,제주특별자치도 서귀포시 안덕면 화순로56번길 32,0,0,
65,납읍초등학교,제주특별자치도 제주시 애월읍 납읍로2길 47,1,0,
66,납읍초등학교 병설유치원,제주특별자치도 제주시 애월읍 납읍로2길 47,0,0,
67,애월고등학교,제주특별자치도 제주시 애월읍 일주서로 6372-20,35,3,
68,더럭초등학교,제주특별자치도 제주시 애월읍 하가로 195,53,3.5,
69,창천초등학교,제주특별자치도 서귀포시 안덕면 창천중앙로 12,2,0,
70,창천초등학교 병설유치원,제주특별자치도 서귀포시 안덕면 창천중앙로 13,0,0,
71,신엄중학교,제주특별자치도 제주시 애월읍 일주서로 6711,3,4,
72,구엄초등학교,제주특별자치도 제주시 애월읍 일주서로 6768,0,0,
73,구엄초등학교 병설유치원,제주특별자치도 제주시 애월읍 일주서로 6768,0,0,
74,한길정보통신학교,제주특별자치도 제주시 애월읍 장소로 515,,,
75,장전초등학교 한울마루,제주특별자치도 제주시 애월읍 장전리 435,0,0,
76,예래초등학교,제주특별자치도 서귀포시 예래로 210-14,3,0,
77,예래초등학교병설유치원,제주특별자치도 서귀포시 예래로 210-14,0,0,
78,장전초등학교,제주특별자치도 제주시 애월읍 장전로 122,11,5,
79,장전초등학교 병설유치원,제주특별자치도 제주시 애월읍 장전로 122,0,0,
80,물메초등학교,제주특별자치도 제주시 애월읍 엄수로 202-4,0,4,
81,물메초등학교 병설유치원,제주특별자치도 제주시 애월읍 엄수로 202-4,0,0,
82,하귀초등학교,제주특별자치도 제주시 애월읍 하귀로 44,1,0,
83,귀일중학교,제주특별자치도 제주시 애월읍 항몽로 44,0,0,
84,하귀초등학교 병설유치원,제주특별자치도 제주시 애월읍 하귀로 44,0,0,
85,하귀일초등학교,제주특별자치도 제주시 애월읍 하귀9길 42,2,0,
86,하귀일초등학교 병설유치원,제주특별자치도 제주시 애월읍 하귀9길 42,0,0,
87,중문초등학교,제주특별자치도 서귀포시 천제연로 231,4,5,
88,중문중학교,제주특별자치도 서귀포시 천제연로232번길 10,0,5,
89,제주외국어고등학교,제주특별자치도 제주시 애월읍 고성남길 34,4,0,
90,중문초등학교 병설유치원,제주특별자치도 서귀포시 천제연로 231,0,0,
91,지진실내구호소 중문초등학교,제주특별자치도 서귀포시 천제연로 231,0,0,
92,제주관광대학교,제주특별자치도 제주시 애월읍 평화로 2715,7,0,
93,제주영송학교,제주특별자치도 제주시 애월읍 광령중길 126-3,0,0,
94,광령초등학교,제주특별자치도 제주시 애월읍 광성로 276,2,5,
95,광령초등학교 병설유치원,제주특별자치도 제주시 애월읍 광성로 276,0,0,
96,외도초등학교,제주특별자치도 제주시 일주서로 7368,2,5,
97,외도초등학교 병설유치원,제주특별자치도 제주시 일주서로 7368,0,0,
98,지진실내구호소 외도초등학교,제주특별자치도 제주시 일주서로 7368,0,0,
99,중문고등학교,제주특별자치도 서귀포시 일주서로570번길 19,3,3,
100,도평초등학교,제주특별자치도 제주시 도평길 17,0,0,
101,도평초등학교 병설유치원,제주특별자치도 제주시 도평길 17,0,0,
102,라이프리버 국제학교,제주특별자치도 제주시 현사길 45 1~3층,0,5,
103,LRIS 엘리스 제주대안학교,제주특별자치도 제주시 현사길 45 1~3층,0,5,
104,라이프리버 국제학교 A동,제주특별자치도 제주시 현사길 45,0,,
105,하원초등학교,제주특별자치도 서귀포시 월평하원로 149,1,0,
106,해안초등학교,제주특별자치도 제주시 해안마을길 76,1,5,
107,비라카미신학교 제주캠퍼스,제주특별자치도 제주시 오도9길 55-4,0,5,
108,도리초등학교,제주특별자치도 제주시 도리로 129,1,5,
109,도리초등학교병설유치원,제주특별자치도 제주시 도리로 129,0,0,
110,강정초등학교,제주특별자치도 서귀포시 말질로 188,0,5,
111,강정초등학교병설유치원,제주특별자치도 서귀포시 말질로 188,0,0,
112,도순초등학교,제주특별자치도 서귀포시 도순남로 83,0,0,
113,도순초등학교 병설유치원,제주특별자치도 서귀포시 도순남로 83,0,0,
114,제주한라대학교,제주특별자치도 제주시 한라대학로 38,10,5,
115,노형중학교,제주특별자치도 제주시 노형1길 28,2,3.8,
116,제주제일고등학교,제주특별자치도 제주시 진군길 22,4,3.9,
117,제주제일고등학교부설방송통신고등학교,제주특별자치도 제주시 진군길 22,1,0,
118,노형초등학교,제주특별자치도 제주시 노형로 383,0,2.6,
119,백록초등학교,제주특별자치도 제주시 정존5길 62,0,3,
120,한국방송통신대학교 제주지역대학,제주특별자치도 제주시 정존7길 34,0,0,
121,노형초등학교 병설유치원,제주특별자치도 제주시 노형로 383,1,0,
122,백록초등학교 병설유치원,제주특별자치도 제주시 정존5길 62,0,0,
123,지진실내구호소 노형초등학교,제주특별자치도 제주시 노형로 383,0,0,
