num, store, address, review, score
75, 무주선원, 제주특별자치도 제주시 애월읍 고성2길 64, 0, 0.0
76, 현통사, 제주특별자치도 제주시 애월읍 고성리 440-4, 0, 0.0
77, 월영사, 제주특별자치도 제주시 애월읍 하귀동남2길 40-16, 0, 0.0
78, 묘연사, 제주특별자치도 제주시 애월읍 하귀1길 50-4, 0, 0.0
79, 신광사, 제주특별자치도 서귀포시 중문로81번길 20, 0, 0.0
80, 문수암, 제주특별자치도 제주시 애월읍 고성리 974, 0, 0.0
81, 백제사, 제주특별자치도 제주시 애월읍 광령남6길 54, 0, 0.0
82, 법장사, 제주특별자치도 제주시 애월읍 광령남7길 8, 0, 0.0
83, 향림사, 제주특별자치도 제주시 애월읍 광령4길 10-20, 3, 5.0
84, 불래사, 제주특별자치도 제주시 애월읍 광령리 2451, 0, 0.0
85, 우리절, 제주특별자치도 제주시 애월읍 광령자종동길 62, 0, 0.0
86, 혜능사, 제주특별자치도 제주시 애월읍 중산간서로 6566-5, 0, 0.0
87, 광제사, 제주특별자치도 제주시 제시리길 15-2, 0, 0.0
88, 내원사, 제주특별자치도 제주시 논세2길 25, 0, 0.0
89, 대원암, 제주특별자치도 제주시 월대5길 17, 3, 4.7
90, 약천사, 제주특별자치도 서귀포시 이어도로 293-28, 85, 4.2
92, 법화사, 제주특별자치도 서귀포시 하원북로35번길 15-28, 7, 4.9
93, 법화사 대웅전, 제주특별자치도 서귀포시 하원북로35번길 15-28, 0, 0.0
94, 부혜사, 제주특별자치도 제주시 고래소길 10, 2, 5.0
95, 천운사, 제주특별자치도 서귀포시 일주서로344번길 66, 0, 0.0
96, 원만사, 제주특별자치도 서귀포시 중산간서로446번길 213-76, 0, 0.0
97, 쌍계암, 제주특별자치도 서귀포시 1100로 740-91, 0, 0.0
98, 영주암, 제주특별자치도 서귀포시 하원동 1856, 0, 0.0
99, 정광사, 제주특별자치도 제주시 해안마을길 188, 0, 0.0
100, 불광 포교원, 제주특별자치도 제주시 광평길 19, 0, 0.0
