floor,deposit,rent,key_money,address,area,restroom,elevator,parking,etc
1,5000,4000,0,제주시 한림읍,50,1,0,6,
2,5000,3000,0,제주시 한림읍,60,1,0,6,
1,4500,4500,0,제주시 도남동,60,1,0,5,
1,1200,1200,0,제주시 오라이동,15,1,0,10,
2,1500,1500,0,제주시 오라이동,30,1,0,10,
3,3000,3000,0,제주시 오라이동,55,1,0,10,
1,2000,2650,0,제주시 연동,42,1,0,1,
1,1000,1000,0,제주시 연동,15,1,0,2,
1,2500,2500,0,제주시 삼도일동,75,1,0,0,
2,3000,2800,0,제주시 한림읍,66,2,0,4,
1,3000,4000,0,제주시 화북일동,65,1,1,1,
1,3000,2700,0,제주시 외도일동,38,1,0,6,
2,1000,800,0,제주시 조천읍,24,1,0,6,
1,1000,1700,0,제주시 이도일동,25,1,0,0,
1,2800,2800,0,제주시 용담이동,28,2,1,10,
3,1000,1500,0,제주시 노형동,45,1,0,4,외부화장실
1,1000,1500,0,제주시 이도이동,32,1,0,4,
1,1000,1500,0,제주시 조천읍,30,2,0,4,
2,10000,6000,0,제주시 연동,100,2,1,16,
1,1000,2000,0,제주시 아라이동,30,1,0,5,
2,2000,2000,0,제주시 애월읍,25,2,1,32,
2,3000,3000,0,제주시 애월읍,132,2,1,32,
1,2000,1800,0,제주시 애월읍,16,1,1,32,외부화장실
1,3000,1500,0,제주시 연동,20,1,0,4,
1,2000,2000,0,제주시 애월읍 유수암리,30,1,0,8,
1,1500,1500,0,제주시 아라일동,15,1,0,10,
1,2200,2200,0,제주시 도남동,35,1,1,6,
1,2500,2500,0,제주시 외도일동,44,2,1,5,
1,800,1200,0,제주시 일도이동,21,1,0,0,외부화장실
2,800,800,0,제주시 이도이동,36,2,1,0,
1,3400,3400,0,제주시 아라일동,34,1,0,7,외부화장실
2,3500,3500,0,제주시 아라일동,50,1,0,7,외부화장실
1,2200,2200,0,제주시 일도이동,45,1,0,4,
1,1000,1000,0,제주시 용담일동,10,1,0,0,
1,3000,3000,0,제주시 용담일동,48,1,0,0,
1,2000,2000,0,제주시 도남동,65,1,0,14,
3,700,950,0,제주시 노형동,44,1,0,0,
1/2,3000,3000,0,제주시 노형동,55,1,0,6,복층/외부화장실
1,1800,1800,0,제주시 아라일동,22,1,0,19,외부화장실
1,1500,1500,0,제주시 오라이동,24,1,0,3,외부화장실
1,1700,1700,0,제주시 연동,17,1,0,4,
1,1000,1000,0,제주시 삼도이동,15,1,0,0,외부화장실
3,1000,850,0,제주시 이도이동,30,1,0,0,
1,1000,1000,0,제주시 삼도이동,17,1,0,0,외부화장실
1,1500,1500,0,제주시 한림읍,42,0,0,4,
1,2000,2000,0,제주시 오라삼동,40,1,0,13,외부화장실
2,500,1200,0,제주시 아라일동,40,1,0,0,
1,2000,2500,0,제주시 애월읍,20,1,0,14,외부화장실
2,1000,1700,0,제주시 이도이동,45,1,1,5,외부화장실
1,1800,1800,0,제주시 도남동,18,1,1,6,
1/2,8000,8000,0,제주시 월평동,70,2,0,6,복층
1,16000,16000,0,제주시 오라일동,191,2,1,14,외부화장실
1,11000,11000,0,제주시 오라일동,108,2,1,14,외부화장실
1,5000,5000,0,제주시 오라일동,56,2,1,14,외부화장실
1,3600,3600,0,제주시 도련일동,33,1,0,6,
1,2000,2500,0,제주시 이도이동,44,1,0,3,
B1,1500,1200,0,제주시 일도이동,60,1,0,8,
2,3000,3000,0,제주시 노형동,43,2,1,6,
1,1000,1400,0,제주시 이도일동,16,1,0,1,외부화장실
1,2500,2500,0,제주시 이도이동,30,1,1,6,외부화장실
1,5000,3500,0,제주시 연동,32,1,0,0,
2,1000,1200,0,제주시 오라삼동,25,1,0,3,
3,1000,1000,0,제주시 연동,40,1,0,0,
2,1000,800,0,제주시 노형동,28,1,0,2,
2,2000,2000,0,제주시 이도이동,71,2,1,7,
1,2500,2500,0,제주시 오라이동,50,1,0,4,
1,3000,2000,0,제주시 애월읍,40,2,0,19,호텔/외부화장실
2,1200,2100,0,제주시 연동,60,1,0,0,외부화장실
2,600,1050,0,제주시 연동,30,1,0,0,외부화장실
2,3000,3000,0,제주시 삼도일동,74,2,1,13,
3,3000,3000,0,제주시 삼도일동,74,2,1,13,
4,2500,2500,0,제주시 삼도일동,76,2,1,13,
5,2500,2500,0,제주시 삼도일동,79,2,1,13,
6,2000,2000,0,제주시 삼도일동,79,2,1,13,
2,1000,1500,0,제주시 이도이동,30,1,1,1,
3,2000,2000,0,제주시 이도이동,40,1,1,0,
1,2000,2000,0,제주시 연동,20,1,0,1,외부화장실
1,4000,3500,0,제주시 노형동,37,1,0,10,외부화장실
1,5000,5000,0,제주시 용담일동,57,1,0,4,
2,2000,1700,0,제주시 연동,50,1,0,5,외부화장실
3,3100,3100,0,제주시 조천읍,50,1,1,8,
4,2100,2100,0,제주시 조천읍,41,1,1,8,
1,3000,4000,0,제주시 아라일동,57,1,0,8,
3,1000,1500,0,제주시 연동,47,1,0,4,외부화장실
1,2000,1100,0,제주시 조천읍,35,1,0,5,
1,15000,6000,0,제주시 노형동,45,1,0,0,
1,1600,1600,0,제주시 아라일동,30,1,0,3,
1,3000,3000,0,제주시 오등동,47,1,0,4,
1,5000,5000,0,제주시 삼양이동,45,1,0,3,
1,7000,3500,0,제주시 오라이동,42,2,0,14,외부화장실
1,1600,1500,0,제주시 조천읍,30,1,0,4,
1,2000,2000,0,제주시 오라이동,28,1,0,6,외부화장실
1,3000,3000,0,제주시 이도이동,40,1,0,0,외부화장실
1,2000,2000,0,제주시 애월읍,23,1,0,2,
1,3000,2800,0,제주시 화북일동,26,1,1,18,외부화장실
1,7000,7000,0,제주시 조천읍,60,1,1,7,
1,1900,1900,0,제주시 화북일동,32,1,1,32,외부화장실
1,1000,1200,0,제주시 봉개동,23,1,0,4,외부화장실
1,7000,7000,0,제주시 노형동,75,1,1,15,
1,2300,2300,0,제주시 아라일동,75,2,0,6,반상가
1,2000,1200,0,제주시 애월읍 수산리,15,1,0,1,
1/2,20000,20000,0,서귀포시 상예동,120,2,1,15,
1,5000,5000,0,제주시 오라이동,55,1,0,8,
1,10000,6000,0,제주시 노형동,75,1,0,6,
1/2,8000,8000,0,제주시 월평동,70,1,0,10,
1,3000,2800,0,제주시 화북일동,30,2,1,14,외부화장실
3,4000,4000,0,제주시 화북일동,100,2,1,14,외부화장실
4,2000,1600,0,제주시 화북일동,50,2,1,14,외부화장실
1,5000,4500,0,제주시 삼양일동,50,1,1,7,
2,3000,3000,0,제주시 삼양일동,50,1,1,7,
3,3000,3000,0,제주시 삼양일동,45,1,1,7,
1,10000,10000,0,제주시 오라이동,80,1,0,12,
1/2,5000,4000,0,제주시 봉개동,50,1,0,1,복층
1,2500,2500,0,제주시 이도이동,36,1,0,4,
2,2500,1800,0,제주시 구좌읍,39,2,1,5,
1,3000,2090,0,제주시 봉개동,40,1,0,3,외부화장실
2,1500,1500,0,제주시 봉개동,40,1,0,3,외부화장실
1,3000,2000,0,제주시 아라일동,35,1,0,6,
3,2700,2700,0,제주시 도남동,55,2,1,7,
1,3500,3500,0,제주시 연동,38,1,0,4,
1,4000,4000,0,제주시 아라일동,60,2,0,8,
2,3000,3000,0,제주시 아라일동,75,2,0,8,
1,5000,4000,0,제주시 연동,30,1,1,14,외부화장실
1,7000,7000,0,제주시 오라삼동,105,1,0,10,
2,1500,1500,0,서귀포시 안덕면 화순리,55,0,0,24,
1,4500,4500,0,제주시 도련일동,80,1,0,7,
2,3500,3500,0,제주시 도련일동,80,1,0,7,
3,3000,3500,0,제주시 노형동,70,1,0,6,외부화장실
1,5000,5000,0,제주시 연동,85,1,0,2,
1,2000,3000,0,제주시 이도이동,40,1,0,1,
1/2,5500,5500,0,제주시 일도일동,44,1,0,0,복층/외부화장실
1,1300,1300,0,제주시 조천읍,25,1,0,7,
1,2000,2000,0,제주시 구좌읍,22,1,0,6,
2,2000,1500,0,제주시 일도이동,40,1,0,1,
1,2000,1800,0,제주시 조천읍,15,1,0,4,
2,1000,1200,0,제주시 이도이동,11,1,1,5,외부화장실
1,2000,1600,0,제주시 도련일동,38,1,0,8,
1,2400,2400,0,제주시 삼양이동,22,1,0,4,
3,1000,800,0,제주시 이도일동,42,1,0,0,
4,300,700,0,제주시 이도이동,40,1,0,6,
1,2300,1900,0,제주시 도남동,32,1,0,3,
2,3500,3500,0,제주시 아라일동,63,1,0,7,
B1,1000,1000,0,제주시 도남동,60,1,0,5,
1,7000,7000,0,제주시 이도이동,71,2,1,7,
2,5000,4800,0,제주시 이도이동,78,2,1,7,
1,2500,2500,0,제주시 화북일동,48,2,0,6,
1,7000,3500,0,제주시 일도이동,35,1,0,1,
2,7000,4000,0,제주시 일도이동,70,1,0,1,
1,2000,2000,0,제주시 삼도이동,35,1,0,19,
1,2000,2000,0,제주시 연동,15,1,0,5,외부화장실
1,2000,2200,0,제주시 오등동,25,1,0,10,
1,3500,3500,0,제주시 화북일동,35,1,0,1,외부화장실
1,3000,2500,0,제주시 이도이동,25,1,1,6,
1,3000,3000,0,제주시 아라일동,44,2,1,5,
B1,700,350,0,제주시 도남동,30,1,0,2,
1,1100,1100,0,제주시 조천읍,23,1,0,8,6개
2,1000,800,0,제주시 애월읍,35,1,0,2,
2,3000,4000,0,제주시 일도이동,96,1,0,1,
1,1300,1000,0,제주시 삼도일동,30,1,0,1,
2,1000,1000,0,제주시 삼도일동,30,1,0,1,
1,6000,5500,0,제주시 용담이동,100,1,1,10,외부화장실
1,3000,4500,0,제주시 아라일동,58,1,0,7,
3,1000,1300,0,제주시 이도이동,47,2,0,5,외부화장실
2,1000,1000,0,제주시 용담일동,64,1,0,1,
2,2000,1200,0,제주시 이도이동,37,1,0,0,
1,2000,2000,0,제주시 이도이동,27,1,0,3,
1,2500,2500,0,제주시 도남동,44,1,1,4,
2,2000,2000,0,제주시 도남동,57,1,1,4,
3,1800,1800,0,제주시 도남동,57,1,1,4,
1,3000,3000,0,제주시 도남동,55,1,1,1,
2,3000,3000,0,제주시 도남동,80,1,1,1,
3,500,700,0,제주시 연동,35,1,0,0,반상가
2,8000,8000,0,제주시 오라일동,145,1,1,14,테라스 45p
2,1400,1400,0,제주시 도련일동,36,1,1,8,외부화장실
B1,1000,1400,0,제주시 용담삼동,63,1,0,12,외부화장실
1,2000,2500,0,제주시 연동,18,1,0,0,외부화장실
3,1000,1000,0,제주시 연동,30,1,0,8,
1,3800,3800,0,제주시 도련일동,50,1,1,18,
1,2000,2000,0,제주시 연동,20,1,1,11,
1,2000,2000,0,제주시 봉개동,51,1,0,4,외부화장실
