하차역,업종,전국 소비금액 비율,관광지內_총 소비금액 비율,인당 소비금액 비율,관광지內_인당 소비금액 비율,전국 소비건수 비율,관광지內_총 소비건수 비율,인당 소비건수 비율,관광지內_인당 소비건수 비율
여수엑스포역,주차장,0.38 ,0.43 ,0.64 ,0.69 ,1.45 ,3.07 ,3.29 ,6.00 
여수엑스포역,주유,10.47 ,12.84 ,11.05 ,18.51 ,4.46 ,4.88 ,6.51 ,10.23 
신경주역,요식,16.94 ,24.27 ,8.69 ,5.46 ,17.80 ,22.55 ,12.47 ,10.25 
신경주역,제과점,2.22 ,6.68 ,1.64 ,2.75 ,4.57 ,7.44 ,4.62 ,6.17 
신경주역,커피,2.21 ,1.58 ,1.54 ,1.54 ,6.73 ,4.58 ,6.36 ,9.01 
신경주역,백화점,17.27 ,0.00 ,17.48 ,0.00 ,3.65 ,0.00 ,5.04 ,0.00 
신경주역,대형할인점,10.76 ,3.02 ,8.41 ,7.14 ,5.22 ,1.36 ,5.57 ,6.48 
신경주역,소형유통점,26.82 ,25.05 ,11.91 ,4.40 ,45.38 ,47.64 ,27.52 ,16.90 
신경주역,"공연장/극장",0.60 ,0.12 ,2.05 ,1.39 ,0.81 ,0.16 ,3.72 ,3.98 
신경주역,스포츠/문화/레저,5.80 ,8.77 ,7.95 ,16.68 ,2.80 ,4.21 ,5.23 ,16.17 
신경주역,숙박,3.99 ,17.23 ,8.73 ,14.48 ,0.92 ,3.96 ,2.75 ,6.72 
신경주역,항공,1.11 ,0.00 ,7.69 ,0.00 ,0.28 ,0.00 ,2.70 ,0.00 
신경주역,택시,2.64 ,0.05 ,2.94 ,23.24 ,6.32 ,0.00 ,9.61 ,3.80 
신경주역,렌터카,0.31 ,0.96 ,6.91 ,11.26 ,0.05 ,0.20 ,1.58 ,4.77 
신경주역,고속버스,0.10 ,0.00 ,0.91 ,0.00 ,0.19 ,0.00 ,2.35 ,0.00 
신경주역,여객선,0.00 ,0.00 ,2.11 ,0.00 ,0.00 ,0.00 ,1.20 ,0.00 
신경주역,철도,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
신경주역,주차장,0.43 ,1.07 ,0.68 ,1.16 ,1.48 ,3.12 ,3.18 ,6.74 
신경주역,주유,8.80 ,11.20 ,10.36 ,10.48 ,3.80 ,4.76 ,6.11 ,8.99 
