898371731, 카페해안, 카페, 제주특별자치도 제주시 한경면 한경해안로 136, 126.16685372680826, 33.322270088215724, 음식점 > 카페,제주특별자치도 제주시 한경면 용수리 4275
901949244, 황언니의심야식당, 음식점, 제주특별자치도 제주시 한경면 용수3길 38, 126.165800314319, 33.3246251896315, 음식점 > 한식,제주특별자치도 제주시 한경면 용수리 4143-1
1537663683, 신가네짬뽕, 음식점, 제주특별자치도 제주시 한경면 한경해안로 294-16, 126.16594180856566, 33.332599812320325, 음식점 > 중식 > 중국요리,제주특별자치도 제주시 한경면 용수리 3949
1007759626, 노을안에풍차, 음식점, 제주특별자치도 제주시 한경면 한경해안로 360, 126.164630803991, 33.3368879807922, 음식점 > 한식,제주특별자치도 제주시 한경면 용수리 3891
1642530887, 옹다방, 카페, 제주특별자치도 제주시 한경면 한경해안로 420, 126.166793355782, 33.3410227729081, 음식점 > 카페,제주특별자치도 제주시 한경면 신창리 1451
213385380, 바사팬, 음식점, 제주특별자치도 제주시 한경면 한경해안로 448-6, 126.168361232382, 33.3401605432041, 음식점 > 한식 > 해물,생선,제주특별자치도 제주시 한경면 신창리 1455-4
26404759, 어촌계식당, 음식점, 제주특별자치도 서귀포시 대정읍 노을해안로 724, 126.171018502887, 33.2764103292492, 음식점 > 한식 > 해물,생선,제주특별자치도 서귀포시 대정읍 신도리 3076-1
1522169186, 연희원, 음식점, 제주특별자치도 서귀포시 대정읍 도원중로 144, 126.175125044095, 33.2784824735931, 음식점 > 한식,제주특별자치도 서귀포시 대정읍 신도리 2609-12
25611455, 노을과어울림, 카페, 제주특별자치도 서귀포시 대정읍 노을해안로 638, 126.17590529175696, 33.270782757229235, 음식점 > 카페,제주특별자치도 서귀포시 대정읍 신도리 2453-1
1624299731, 카페도구리3083, 카페, 제주특별자치도 서귀포시 대정읍 노을해안로 702, 126.172573575415, 33.2749564923775, 음식점 > 카페,제주특별자치도 서귀포시 대정읍 신도리 3083-1
254196339, 카페라레온다, 카페, 제주특별자치도 서귀포시 대정읍 노을해안로 720, 126.171327085371, 33.2762410828483, 음식점 > 카페 > 커피전문점,제주특별자치도 서귀포시 대정읍 신도리 3074
1637085501, 카페공유, 카페, 제주특별자치도 서귀포시 대정읍 도원로 20, 126.172468381261, 33.2765498197563, 음식점 > 카페,제주특별자치도 서귀포시 대정읍 신도리 3092-1
10949265, 한경가든, 음식점, 제주특별자치도 제주시 한경면 노을해안로 1259, 126.17361268829966, 33.30455383190701, 음식점 > 한식 > 해물,생선,제주특별자치도 제주시 한경면 고산리 3565-1
2074696121, 금자매식당, 음식점, 제주특별자치도 제주시 한경면 용고로 154, 126.1764373140128, 33.3058438347493, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 2674
792715062, 제주돔베막국수, 음식점, 제주특별자치도 제주시 한경면 고산로 35, 126.17936068706281, 33.30416637305428, 음식점 > 한식 > 국수,제주특별자치도 제주시 한경면 고산리 2749-3
582294685, 안녕구움, 카페, 제주특별자치도 제주시 한경면 고산로 49, 126.1790936550984, 33.305392582684426, 음식점 > 카페 > 테마카페 > 디저트카페,제주특별자치도 제주시 한경면 고산리 2726-1
1994421978, 옛날국수집, 음식점, 제주특별자치도 제주시 한경면 고산로 73, 126.17802531342, 33.3073365726608, 음식점 > 한식 > 국수,제주특별자치도 제주시 한경면 고산리 2634-9
1441895065, 종배네, 음식점, 제주특별자치도 제주시 한경면 고락로 2, 126.179891390791, 33.3033322941302, 음식점 > 한식 > 육류,고기,제주특별자치도 제주시 한경면 고산리 2211-1
26433257, 제주찰리아저씨, 음식점, 제주특별자치도 제주시 한경면 용고로 118-2, 126.177372906705, 33.3029450909818, 음식점 > 한식 > 국수,제주특별자치도 제주시 한경면 고산리 2768-2
1899764943, 요이땅삐삐, 음식점, 제주특별자치도 제주시 한경면 고산로 19, 126.17939805346123, 33.30269882152763, 음식점 > 술집 > 호프,요리주점,제주특별자치도 제주시 한경면 고산리 2202
27445529, 당산봉식당, 음식점, 제주특별자치도 제주시 한경면 고산로 59, 126.17863546682, 33.3061631238388, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 2628-1
9317892, 육거리식당, 음식점, 제주특별자치도 제주시 한경면 용고로 85, 126.179392555497, 33.3009929651501, 음식점 > 한식 > 육류,고기,제주특별자치도 제주시 한경면 고산리 2822-6
1225516504, 차이나리, 음식점, 제주특별자치도 제주시 한경면 고산로 70, 126.17847170294495, 33.30713846909368, 음식점 > 중식 > 중국요리,제주특별자치도 제주시 한경면 고산리 2615-2
2027720013, 이누팬, 음식점, 제주특별자치도 제주시 한경면 고산로 33-3, 126.17880902788032, 33.30391298648132, 음식점 > 양식,제주특별자치도 제주시 한경면 고산리 2750-21
819161408, 고산의낮고산의밤, 음식점, 제주특별자치도 제주시 한경면 고산로 26-1, 126.179732933733, 33.3033988679331, 음식점 > 술집,제주특별자치도 제주시 한경면 고산리 2210-2
1920273062, 카페로서, 카페, 제주특별자치도 제주시 한경면 노을해안로 1249, 126.172802786897, 33.3048153151663, 음식점 > 카페 > 커피전문점,제주특별자치도 제주시 한경면 고산리 3563-4
702365650, 고산수월봉가마솥순대국, 음식점, 제주특별자치도 제주시 한경면 고산서2길 18, 126.177795304965, 33.3007245506384, 음식점 > 한식 > 순대,제주특별자치도 제주시 한경면 고산리 2826-19
566806168, 슈가램프, 음식점, 제주특별자치도 제주시 한경면 고산로 65-5, 126.17749215854177, 33.30659734274239, 음식점 > 간식 > 제과,베이커리,제주특별자치도 제주시 한경면 고산리 2632
10160263, 고관심해장국, 음식점, 제주특별자치도 제주시 한경면 용고로 86, 126.179493460394, 33.3012244401168, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 2822-17
8520193, 유명제과, 음식점, 제주특별자치도 제주시 한경면 고산로 26, 126.17969267584277, 33.30334090003057, 음식점 > 간식 > 제과,베이커리,제주특별자치도 제주시 한경면 고산리 2210-1
1376737602, 고산함지박, 음식점, 제주특별자치도 제주시 한경면 고락로 4, 126.18006073796364, 33.303364065954604, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 2212
139103924, 차담제, 카페, 제주특별자치도 제주시 한경면 고산로 28, 126.17962445770378, 33.30363166518441, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 2208-2
19054759, 행복오뚜기식당, 음식점, 제주특별자치도 제주시 한경면 고산로 18, 126.1796932311539, 33.30259348053039, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 2200-1
1200876339, 고산별이아름답다, 카페, 제주특별자치도 제주시 한경면 고산로 36, 126.179612579562, 33.3042122145591, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 2249-5
16283685, 고마루, 음식점, 제주특별자치도 제주시 한경면 고산로1길 1, 126.179288297371, 33.3034121607434, 음식점 > 한식 > 육류,고기,제주특별자치도 제주시 한경면 고산리 2204
4311050, 카페리나, 카페, 제주특별자치도 제주시 한경면 고락로 4, 126.180036744663, 33.3032890751572, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 2212
10556350, 수월다방, 카페, 제주특별자치도 제주시 한경면 고산로 23, 126.179406951729, 33.30312443364, 음식점 > 카페 > 다방,제주특별자치도 제주시 한경면 고산리 2203-2
16259455, 더조은치킨, 음식점, 제주특별자치도 제주시 한경면 고산로 38-1, 126.17963042103017, 33.30448551590784, 음식점 > 치킨,제주특별자치도 제주시 한경면 고산리 2249-2
19387196, 머물다, 카페, 제주특별자치도 제주시 한경면 고산로 40, 126.179599278355, 33.3046007145675, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 2249-6
63267214, 넝쿨담쟁이, 음식점, 제주특별자치도 제주시 한경면 고산로 32, 126.179607064727, 33.3039984999136, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 2207-2
