name, address, review, score
할리스 매송휴게소목포방향점, 경기 화성시 매송면 서해안고속도로 315, 1, 3.0
할리스 안산중앙역점, 경기 안산시 단원구 광덕4로 234, 3, 3.6
할리스 안산로데오점, 경기 안산시 단원구 중앙대로 907 2층, 2, 3.7
할리스 안산선부점, 경기 안산시 단원구 선부광장1로 56 1, 2층, 3, 3.3
할리스 시흥능곡점, 경기 시흥시 능곡번영길 25 1,2층 107,108,205,206호, 6, 5.0
할리스 안산한대앞점, 경기 안산시 상록구 중보로 31, 1, 
할리스 안산NC고잔점, 경기 안산시 단원구 광덕대로 194 안산NC고잔점 A관 1층, 2, 2.8
할리스 시흥하늘휴게소점, 경기 시흥시 수도권제1순환고속도로 105, 3, 0.0
할리스 가산디지털단지점, 서울 금천구 가산디지털1로 186 제이플라츠 1층, 18, 3.0
할리스 역곡역점, 경기 부천시 부일로726번길 5, 3, 4.7
할리스 시흥은계점, 경기 시흥시 은계번영길 13 107~108호, 203~205호, 9, 4.9
할리스 구로거리공원점, 서울 구로구 구로중앙로28길 52, 4, 3.6
할리스 광명GIDC점, 경기 광명시 일직로 43 지하2층 G249, 250호, 2, 5.0
할리스 마곡나인스퀘어점, 서울 강서구 공항대로 206 101~103호, 10, 4.1
할리스 목동점, 서울 양천구 목동서로 159-1 CBS기독교 방송국 1,2층, 14, 4.0
할리스 구로역점, 서울 구로구 새말로 18-29 지하 1층~3층, 3, 4.2
할리스 신정네거리역점, 서울 양천구 중앙로 252 신정화산빌딩 2층, 0, 2.2
할리스 목동예술인회관점, 서울 양천구 목동서로 225 1층, 2, 2.6
할리스 목동삼성쉐르빌점, 서울 양천구 목동동로 189 삼성쉐르빌1 1층 101~103호, 3, 4.8
할리스 김포공항점, 서울 강서구 하늘길 112 국내선청사 1층, 11, 2.8
할리스 오목교역점, 서울 양천구 오목로 344 청학빌딩 1층, 7, 5.0
할리스 고양덕은점, 경기 고양시 덕양구 덕은동 378-22, 0, 0.0
할리스 고양행신점, 경기 고양시 덕양구 충경로 37 1층, 6, 3.9
할리스 원흥역점, 경기 고양시 덕양구 권율대로 690 동원로얄듀크비스타 201동 1층 108~111호, 2, 2.3
할리스 원당점, 경기 고양시 덕양구 호국로 797 대동피렌체 상가 1층 104~106호, 2, 3.8
할리스 화정역점, 경기 고양시 덕양구 화신로272번길 67 장군빌딩 2층, 11, 4.0
할리스 덕양구청점, 경기 고양시 덕양구 화중로104번길 8 1층 102호, 4, 3.3
할리스 커피클럽로스팅센터, 경기 파주시 문산읍 돈유3로 87 1,2층, 0, 0.0
할리스 전남장흥점, 전남 장흥군 장흥읍 북부로 18, 3, 4.0
할리스 광주전남대점, 광주 북구 우치로 90, 4, 4.3
할리스 광주북구청점, 광주 북구 서방로 2, 8, 4.6
할리스 광주오치점, 광주 북구 서하로 185, 4, 5.0
할리스 광주충장로점, 광주 동구 충장로안길 43 1, 2층, 5, 4.7
할리스 광주봉선점, 광주 남구 봉선중앙로 21 1층, 2, 0.0
할리스 광주조선대점, 광주 동구 필문대로273번길 12 1, 2층, 2, 4.7
할리스 광주일곡점, 광주 북구 송해로 81 1~3층, 9, 4.4
할리스 전북김제점, 전북 김제시 검산택지5길 21-10 1층, 3, 4.0
할리스 익산모현점, 전북 익산시 선화로3길 16-10 1층, 4, 0.0
할리스 익산어양점, 전북 익산시 동서로63길 4 101호, 3, 0.0
할리스 익산영등점, 전북 익산시 고봉로32길 46-1 1,2층, 5, 0.0
할리스 익산부송점, 전북 익산시 하나로10길 70-1 1층, 1, 4.7
할리스 수원오목천점, 경기 수원시 권선구 서수원로 179 1, 2층, 7, 4.5
할리스 수원성대역점, 경기 수원시 장안구 서부로2126번길 10 1층, 4, 1.4
할리스 화성융건릉점, 경기 화성시 효행로 501-3 1,2층, 13, 3.0
할리스 봉담원희캐슬점, 경기 화성시 봉담읍 동화길 51 1층, 3, 4.0
할리스 매송휴게소서울방향점, 경기 화성시 매송면 서해안고속도로 316, 1, 0.0
할리스 평촌점, 경기 안양시 동안구 관평로170번길 43 훼미리타운 125호, 3, 2.2
할리스 범계로데오점, 경기 안양시 동안구 평촌대로223번길 11 2층, 7, 4.9
할리스 평촌스마트스퀘어점, 경기 안양시 동안구 시민대로 311 금강스마트빌딩 110, 111호, 5, 4.3
할리스 산본점, 경기 군포시 번영로 505 대우디오플러스 138호,139호, 1, 4.0
할리스 금정AK프라자점, 경기 군포시 엘에스로 143 AK프라자 131,132호, 4, 5.0
할리스 신림점, 서울 관악구 신림로 353-1, 12, 2.8
할리스 서울대사거리점, 서울 관악구 관악로 172 2층, 6, 1.9
할리스 신림역점, 서울 관악구 신림로 313 2층, 10, 3.3
할리스 이수역점, 서울 동작구 동작대로 83 헤라피스빌딩 1층, 5, 
할리스 구로디지털역점, 서울 구로구 디지털로32나길 38 서림빌딩 1층, 9, 3.3
